epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.68831,1.63521,9.99146,0.70649,2.72893,1.7745,0.40347,0.63889,0.44222,0.15395,0,0,0,0,2.76081,10.2483,0.68234,3.20971,3.21741,0.000583333,0.000583333,0.000583333
2,8.9397,1.60852,9.645,0.70804,1.43538,1.68261,0.54442,0.63889,0.58089,0.29369,0,0,0,0,1.91731,9.91205,0.66908,3.55065,2.4647,0.00122525,0.00122525,0.00122525
3,11.9942,1.53131,8.96835,0.70241,1.38163,1.64597,0.48876,0.27778,0.33563,0.14948,0,0,0,0,2.80722,9.73079,0.66284,6.12701,4.52704,0.00184077,0.00184077,0.00184077
4,14.9685,1.47159,8.71714,0.71019,1.49325,1.60542,0.2464,0.58333,0.21019,0.06099,0,0,0,0,2.04798,8.87918,0.63297,7.97715,3.48087,0.0018812,0.0018812,0.0018812
5,17.9276,1.29166,8.4358,0.7097,1.30922,1.50716,0.3113,0.52778,0.36054,0.10614,0,0,0,0,2.43393,8.99281,0.64086,16.208,3.71313,0.0018416,0.0018416,0.0018416
6,20.9203,1.26922,7.91915,0.69623,1.10233,1.4443,0.08907,0.16667,0.09044,0.01965,0,0,0,0,2.87663,9.82,0.64025,22.0211,5.26879,0.001802,0.001802,0.001802
7,23.8625,1.26793,7.80482,0.68111,1.04843,1.42716,0.4515,0.36111,0.32765,0.08358,0,0,0,0,2.83983,9.58573,0.6424,3.47598,4.36357,0.0017624,0.0017624,0.0017624
8,26.8337,1.24327,7.61895,0.67549,0.99833,1.5162,0.73705,0.44444,0.48496,0.17238,0,0,0,0,2.85537,9.56912,0.63856,4.03586,4.51198,0.0017228,0.0017228,0.0017228
9,29.8292,1.19289,7.51649,0.67446,0.95281,1.40692,0.54223,0.69444,0.60328,0.29188,0.00826,0.02778,0.00025,5e-05,2.25108,8.11773,0.61297,2.4287,3.07724,0.0016832,0.0016832,0.0016832
10,32.8407,1.21336,7.16189,0.66819,0.96312,1.41014,0.56246,0.69444,0.53346,0.25057,0,0,0,0,2.46978,8.2948,0.60343,3.10587,3.04503,0.0016436,0.0016436,0.0016436
11,35.7759,1.13081,7.19246,0.66775,0.93005,1.3784,0.68203,0.61111,0.59643,0.28572,0.01457,0.02778,0.00038,4e-05,2.02083,8.48326,0.60411,2.62742,2.67713,0.001604,0.001604,0.001604
12,38.8199,1.10955,7.06471,0.65856,0.91272,1.34894,0.62735,0.51464,0.55112,0.29437,0.06799,0.05556,0.00473,0.00047,1.78792,7.85518,0.6045,2.17992,2.46269,0.0015644,0.0015644,0.0015644
