epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9219,2.89659,10.7777,0.71383,3.87335,2.25344,0.29599,0.14286,0.10421,0.04363,0,0,0,0,1.71968,10.4139,0.69041,2.75572,1.41012,0.000583333,0.000583333,0.000583333
2,48.2576,2.58672,10.5597,0.71428,3.22273,2.07468,0.18919,0.4,0.13487,0.03712,0,0,0,0,2.2682,10.473,0.6871,50.6381,1.94391,0.00112625,0.00112625,0.00112625
3,53.8948,1.98874,10.1084,0.69238,1.59363,1.5899,0.2549,0.37143,0.27372,0.08356,0,0,0,0,1.87699,10.4452,0.68781,24.7782,1.64844,0.00153717,0.00153717,0.00153717
4,58.4078,1.93844,9.68038,0.68764,1.4121,1.53925,0.21622,0.22857,0.17415,0.07343,0,0,0,0,2.11885,10.0771,0.68369,15.8167,2.1783,0.001406,0.001406,0.001406
5,62.4819,1.65627,9.09868,0.68685,1.21937,1.44086,0.43361,0.42857,0.30609,0.12016,0,0,0,0,1.80214,9.90284,0.68069,9.85488,1.78815,0.001208,0.001208,0.001208
6,66.6405,1.56247,8.73225,0.67706,1.08113,1.36141,0.32702,0.42857,0.36406,0.13766,0,0,0,0,1.6138,9.61964,0.66578,7.58172,1.61098,0.00101,0.00101,0.00101
7,70.6228,1.53086,8.3923,0.66894,0.99627,1.29511,0.44352,0.51429,0.43684,0.19935,0.02477,0.02857,0.00357,0.00036,1.55607,9.22259,0.66535,4.35908,1.45224,0.000812,0.000812,0.000812
8,77.0981,1.44586,8.07742,0.67208,0.96403,1.25172,0.52394,0.50332,0.56307,0.22923,0,0,0,0,1.63082,9.00937,0.66085,3.70379,1.51779,0.000614,0.000614,0.000614
9,83.3257,1.50626,7.95065,0.66292,0.94445,1.30035,0.53226,0.71429,0.69429,0.30591,0,0,0,0,1.58878,8.82002,0.65179,2.71481,1.47337,0.000416,0.000416,0.000416
10,89.8127,1.33438,7.84302,0.65885,0.89984,1.1757,0.83279,0.71159,0.81761,0.38311,0,0,0,0,1.44975,8.67385,0.64853,1.79727,1.31753,0.000218,0.000218,0.000218
